x,y,z,k_iso,poros,fac,azim,dip,lnK
3.5,17.5,1.1500000000000004,0.0039019338021820714,0.26030689540786944,1.0,16.02743265749252,0.0,-5.546283002024545
3.5,17.5,1.2500000000000002,0.008870964281020181,0.25460244036699353,1.0,16.02743265749252,0.0,-4.724971775940332
3.5,17.5,1.3500000000000003,0.01065648925941552,0.23644907620199823,1.0,16.02743265749252,0.0,-4.541586252253929
3.5,17.5,1.4500000000000004,0.0022609233372722095,0.2604833374443929,1.0,13.227980486901176,0.0,-6.091981992819212
3.5,17.5,1.5500000000000003,0.011564441023647912,0.2858806854729238,1.0,13.227980486901176,0.0,-4.459820317917079
3.5,17.5,1.6500000000000004,0.01260919939796183,0.2969106965536072,1.0,13.227980486901176,0.0,-4.373328620476692
3.5,17.5,1.7500000000000004,0.011155422676856881,0.2814736472227118,1.0,13.227980486901176,0.0,-4.495829560568802
3.5,17.5,1.8500000000000003,0.024354519368606137,0.2715204533931981,1.0,13.227980486901176,0.0,-3.715037846321718
3.5,17.5,1.9500000000000004,0.028904065719033336,0.2711283859251943,1.0,13.227980486901176,0.0,-3.5437730114390873
3.5,17.5,2.0500000000000003,0.022473210970480023,0.26678903958549666,1.0,13.227980486901176,0.0,-3.79543130266129
3.5,17.5,2.1500000000000004,0.013476392257290594,0.26592161537747727,1.0,13.227980486901176,0.0,-4.30681584601858
3.5,17.5,2.2500000000000004,0.009946648222892507,0.23674264898769576,1.0,13.227980486901176,0.0,-4.610519646583245
3.5,17.5,2.35,0.00622978169978888,0.2295077584167078,1.0,13.227980486901176,0.0,-5.078413986958995
3.5,17.5,2.45,0.0019043514441328556,0.23935373107194952,1.0,13.227980486901176,0.0,-6.263613777643575
3.5,17.5,2.5500000000000003,0.0033252756134485163,0.26196906293815675,1.0,13.227980486901176,0.0,-5.7062027170468985
3.5,17.5,2.6500000000000004,0.01242308761845562,0.2811243074117337,1.0,13.227980486901176,0.0,-4.388198632853017
3.5,17.5,2.7500000000000004,0.000624866061270103,0.19120690788023528,2.0,0.0,0.0,-7.377973233161656
3.5,17.5,2.8500000000000005,0.0009526398240555558,0.1839070788483574,2.0,0.0,0.0,-6.95627366482831
3.5,17.5,2.95,0.000683133443966841,0.17711467706910886,2.0,0.0,0.0,-7.288820338316685
3.5,17.5,3.0500000000000003,0.0003054951253246065,0.19487032992093745,2.0,0.0,0.0,-8.093576735864195
3.5,17.5,3.1500000000000004,8.411932640241336e-05,0.19732833021266646,2.0,0.0,0.0,-9.383274214741325
3.5,17.5,3.2500000000000004,9.916258249696247e-05,0.1896674440442116,2.0,0.0,0.0,-9.218749807399401
3.5,17.5,3.3500000000000005,0.0001888949930500627,0.20519203036361433,2.0,0.0,0.0,-8.574319289630951
3.5,17.5,3.4500000000000006,0.0026953693369951128,0.3217512103991352,1.0,3.7476089766973257,25.0,-5.916220038743818
3.5,17.5,3.5500000000000007,0.007184223515140333,0.3112302698967697,1.0,3.7476089766973257,25.0,-4.935867835556946
3.5,17.5,3.6500000000000004,0.00864347637086863,0.2895907594086309,1.0,3.7476089766973257,25.0,-4.750950419350917
